Prima Run,0.11899995803833008
1,0.11700081825256348
2,0.11899924278259277
3,0.11999988555908203
4,0.11799931526184082
5,0.11999893188476562
6,0.11800169944763184
7,0.11799883842468262
8,0.11899971961975098
9,0.11799955368041992
10,0.12000012397766113
11,0.11900091171264648
12,0.11800098419189453
13,0.12000060081481934
14,0.11899757385253906
15,0.11800241470336914
16,0.11899828910827637
17,0.11900019645690918
18,0.11899900436401367
19,0.12000370025634766
20,0.11899614334106445
21,0.11900138854980469
22,0.11800074577331543
23,0.11799812316894531
24,0.11799979209899902
25,0.11900067329406738
26,0.11799955368041992
27,0.12000036239624023
28,0.11800241470336914
29,0.11799955368041992
30,0.11999797821044922
Media,0.11876661777496338
Dev. Std.,0.0008582252822419804
