Prima Run,4.175382614135742
1,2.0830001831054688
2,2.0760011672973633
3,2.0638821125030518
4,2.073000192642212
5,2.077000141143799
6,2.0739991664886475
7,2.0730044841766357
8,2.094996452331543
9,2.0840003490448
10,2.0589990615844727
11,2.089293956756592
12,2.0765037536621094
13,2.074444055557251
14,2.0700185298919678
15,2.0739803314208984
16,2.070634126663208
17,2.078218460083008
18,2.069086790084839
19,2.0760786533355713
20,2.0739808082580566
21,2.0760037899017334
22,2.0630152225494385
23,2.072037935256958
24,2.0759637355804443
25,2.077810287475586
26,2.0780043601989746
27,2.0661890506744385
28,2.0751562118530273
29,2.0706894397735596
30,2.0779638290405273
Media,2.0747652212778727
Dev. Std.,0.007221754506746733
